Time.[PlanningMonthKey],Time.[Planning Month]
1/6/2019 12:00:00 AM,M01-19
2/3/2019 12:00:00 AM,M02-19
3/3/2019 12:00:00 AM,M03-19
4/7/2019 12:00:00 AM,M04-19
5/5/2019 12:00:00 AM,M05-19
6/2/2019 12:00:00 AM,M06-19
7/7/2019 12:00:00 AM,M07-19
8/4/2019 12:00:00 AM,M08-19
9/1/2019 12:00:00 AM,M09-19
10/6/2019 12:00:00 AM,M10-19
11/3/2019 12:00:00 AM,M11-19
12/1/2019 12:00:00 AM,M12-19
1/5/2020 12:00:00 AM,M01-20
2/2/2020 12:00:00 AM,M02-20
3/1/2020 12:00:00 AM,M03-20
4/5/2020 12:00:00 AM,M04-20
5/3/2020 12:00:00 AM,M05-20
5/31/2020 12:00:00 AM,M06-20
7/5/2020 12:00:00 AM,M07-20
8/2/2020 12:00:00 AM,M08-20
8/30/2020 12:00:00 AM,M09-20
10/4/2020 12:00:00 AM,M10-20
11/1/2020 12:00:00 AM,M11-20
11/29/2020 12:00:00 AM,M12-20
1/3/2021 12:00:00 AM,M01-21
1/31/2021 12:00:00 AM,M02-21
2/28/2021 12:00:00 AM,M03-21
4/4/2021 12:00:00 AM,M04-21
5/2/2021 12:00:00 AM,M05-21
5/30/2021 12:00:00 AM,M06-21
7/4/2021 12:00:00 AM,M07-21
8/1/2021 12:00:00 AM,M08-21
8/29/2021 12:00:00 AM,M09-21
10/3/2021 12:00:00 AM,M10-21
10/31/2021 12:00:00 AM,M11-21
11/28/2021 12:00:00 AM,M12-21
1/2/2022 12:00:00 AM,M01-22
1/30/2022 12:00:00 AM,M02-22
2/27/2022 12:00:00 AM,M03-22
4/3/2022 12:00:00 AM,M04-22
5/1/2022 12:00:00 AM,M05-22
5/29/2022 12:00:00 AM,M06-22
7/3/2022 12:00:00 AM,M07-22
7/31/2022 12:00:00 AM,M08-22
8/28/2022 12:00:00 AM,M09-22
10/2/2022 12:00:00 AM,M10-22
10/30/2022 12:00:00 AM,M11-22
11/27/2022 12:00:00 AM,M12-22
1/1/2023 12:00:00 AM,M01-23
1/29/2023 12:00:00 AM,M02-23
2/26/2023 12:00:00 AM,M03-23
4/2/2023 12:00:00 AM,M04-23
4/30/2023 12:00:00 AM,M05-23
5/28/2023 12:00:00 AM,M06-23
7/2/2023 12:00:00 AM,M07-23
7/30/2023 12:00:00 AM,M08-23
8/27/2023 12:00:00 AM,M09-23
10/1/2023 12:00:00 AM,M10-23
10/29/2023 12:00:00 AM,M11-23
12/3/2023 12:00:00 AM,M12-23
1/7/2024 12:00:00 AM,M01-24
2/4/2024 12:00:00 AM,M02-24
3/3/2024 12:00:00 AM,M03-24
4/7/2024 12:00:00 AM,M04-24
5/5/2024 12:00:00 AM,M05-24
6/2/2024 12:00:00 AM,M06-24
7/7/2024 12:00:00 AM,M07-24
8/4/2024 12:00:00 AM,M08-24
9/1/2024 12:00:00 AM,M09-24
10/6/2024 12:00:00 AM,M10-24
11/3/2024 12:00:00 AM,M11-24
12/1/2024 12:00:00 AM,M12-24
1/5/2025 12:00:00 AM,M01-25
2/2/2025 12:00:00 AM,M02-25
3/2/2025 12:00:00 AM,M03-25
4/6/2025 12:00:00 AM,M04-25
5/4/2025 12:00:00 AM,M05-25
6/1/2025 12:00:00 AM,M06-25
7/6/2025 12:00:00 AM,M07-25
8/3/2025 12:00:00 AM,M08-25
8/31/2025 12:00:00 AM,M09-25
10/5/2025 12:00:00 AM,M10-25
11/2/2025 12:00:00 AM,M11-25
11/30/2025 12:00:00 AM,M12-25
1/4/2026 12:00:00 AM,M01-26
2/1/2026 12:00:00 AM,M02-26
3/1/2026 12:00:00 AM,M03-26
4/5/2026 12:00:00 AM,M04-26
5/3/2026 12:00:00 AM,M05-26
5/31/2026 12:00:00 AM,M06-26
7/5/2026 12:00:00 AM,M07-26
8/2/2026 12:00:00 AM,M08-26
8/30/2026 12:00:00 AM,M09-26
10/4/2026 12:00:00 AM,M10-26
11/1/2026 12:00:00 AM,M11-26
11/29/2026 12:00:00 AM,M12-26
1/3/2027 12:00:00 AM,M01-27
1/31/2027 12:00:00 AM,M02-27
2/28/2027 12:00:00 AM,M03-27
4/4/2027 12:00:00 AM,M04-27
5/2/2027 12:00:00 AM,M05-27
5/30/2027 12:00:00 AM,M06-27
7/4/2027 12:00:00 AM,M07-27
8/1/2027 12:00:00 AM,M08-27
8/29/2027 12:00:00 AM,M09-27
10/3/2027 12:00:00 AM,M10-27
10/31/2027 12:00:00 AM,M11-27
11/28/2027 12:00:00 AM,M12-27
